Wada Farms,Direct Farm Operator,Potato + Onion Grower,Idaho,"Large-scale, multi-state","Potatoes, Onions","Farm Manager, Agronomy Lead",Large family-owned operation. Fresh and processed potato supply. Sustainability focus.,Expanding retail and foodservice channels.,MEDIUM,wadafarms.com
Sackett Ranch Inc.,Direct Farm Operator,Potato Grower (Chipping),Michigan,"7,500+ acres","Potatoes (chipping), Peas","Farm Manager, Quality Manager","7,500 acres above ICP threshold. Long-term Frito-Lay supplier — quality/yield tracking critical.",Top 100 Grower. Storage expansion recently completed.,MEDIUM,n/a
Ceres Partners,Farmland Investor,Farmland Asset Manager,Indiana,"~150,000 acres managed","Corn, Soybeans, Wheat","Portfolio Manager, Agronomist, Farm Manager",Corporate farmland operator. Data-driven yield optimization is core to their investment model.,"Growing farmland AUM, sustainability reporting requirements.",HIGH,cerespartners.com
Farmland Partners Inc.,Farmland Investor,Publicly Traded Farmland REIT,Colorado,"~160,000 acres across 26 states","Corn, Soybeans, Wheat, Potatoes","COO, Director of Agronomy",Listed REIT (NYSE: FPI). Needs yield data for asset management and ESG investor reporting.,Publicly traded. Sustainability reporting pressure from institutional investors.,HIGH,farmlandpartners.com
Hancock Natural Resource Group,Farmland Investor,Institutional Farmland Manager,Massachusetts,Large institutional portfolio,"Row Crops, Grain","Portfolio Manager, Agronomist",Institutional operators need performance data for LP reporting and insurance purposes.,ESG/carbon credit compliance push.,MEDIUM,hnrg.com
McCain Foods USA,Food Processor,Frozen Potato Processor,Illinois,"Global leader, hundreds of US supplier farms",Potatoes,"Sourcing Director, Supply Chain Manager, Sustainability Lead",Named by Ori. Sources from hundreds of US farms. Yield predictability = strategic sourcing priority.,Major sustainability pledges. Precision ag supplier programs.,HIGH,mccain.com
Lamb Weston,Food Processor,Frozen Potato Processor,Idaho,"$6B+ revenue, NYSE: LW",Potatoes,"VP Supply Chain, Agronomist, Sourcing Manager",Named by Ori. Publicly traded. Needs farmer yield data for annual volume planning and logistics.,NYSE listed. Recent processing facility expansion.,HIGH,lambweston.com
RPE Inc.,Food Processor,Fresh Potato + Onion Supplier,Wisconsin,Large-scale fresh produce,"Potatoes, Onions","Operations Manager, Director of Procurement",Vertically integrated fresh potato supplier. Joined Potato Sustainability Alliance 2024.,PSA member Q1 2024. Sustainability push.,MEDIUM,rpeproduce.com
Potandon Produce,Food Processor,Fresh Potato Marketer,Idaho,Major US fresh potato marketer,"Potatoes, Onions","Procurement Manager, Operations Director",Large-scale fresh produce marketing. Needs yield visibility from grower partners.,Innovation focus in fresh produce marketing.,MEDIUM,potandon.com
American Farm Bureau Insurance,Crop Insurance,Farm Insurance Provider,Illinois,Largest US farm insurer,All crops,"Underwriting Manager, Agricultural Risk Analyst",Needs farm performance data to price policies and assess insurability. Direct fit with Ori's target segment.,Growing demand for data-driven underwriting.,HIGH,fbfs.com
Crop Risk Services (AIG),Crop Insurance,Crop Insurance Provider,Georgia,Major AIG crop insurance arm,"Corn, Soybeans, Wheat, Potatoes","Crop Insurance Specialist, Risk Manager",Uses yield/performance data to adjust premiums. Would benefit from real-time harvest analytics.,Expanding precision agriculture data partnerships.,MEDIUM,croprisks.com
ProAg (Tokio Marine),Crop Insurance,Crop Insurance Provider,Texas,Top 5 US crop insurer,All row crops,"Agronomy Risk Manager, Underwriter",Large crop insurance portfolio. Actively seeking farm performance data sources.,Part of Tokio Marine — global push for data-driven agri insurance.,MEDIUM,proag.com
Bayer Crop Science (US),Agri Input Company,Seed + Crop Protection,Missouri,$20B+ global crop science revenue,All crops,"Digital Agriculture Lead, Technology Partnership Manager",Named by Ori. Owns Climate FieldView. Seeks harvest data to measure product performance on farms.,Climate FieldView expansion. Precision ag data partnerships.,HIGH,bayer.com/agriculture
Corteva Agriscience,Agri Input Company,Seed + Crop Protection,Indiana,"$17B revenue, 21,000 employees","Corn, Soybeans, Wheat","AgTech Partnerships, Digital Agronomy Lead",Major seed + crop protection company. Uses farm data to demonstrate product ROI to growers.,Active in precision agriculture acquisitions.,MEDIUM,corteva.com
Nutrien Ag Solutions,Agri Input Company,Crop Input Retailer,Colorado,Largest crop input retailer in North America,All crops,"Digital Agriculture Director, Agronomy Manager",Retail arm serves thousands of large farms. Farm data partnerships strengthen advisory value.,Investing heavily in digital agriculture platforms.,MEDIUM,nutrien.com
Gavilon (Marubeni),Agri Input Company,Grain Handler + Trader,Nebraska,400+ grain facilities across US,"Corn, Soybeans, Wheat","Grain Operations Manager, Technology Director",Massive grain handling footprint. Yield data across hundreds of farms is core to trading operations.,Part of Marubeni global agri group — tech modernization push.,MEDIUM,gavilon.com
